"ncue","P50","P41","econ_state_agg","P55","populist_agg","NSE_AGR"
595,1,5,NA,2,0.3521975,4
596,1,5,-0.65843457,1,-0.40223601,3
597,1,5,-0.65843457,2,-0.10424212,2
598,2,8,1.8026404,2,0.88000035,3
599,2,6,1.4766983,2,0.15892407,3
600,2,6,0.20969085,2,0.98111665,3
601,1,6,NA,1,1.2770954,2
602,1,5,1.8026404,2,-0.21807186,3
603,2,9,NA,1,0.52595907,3
604,1,5,0.20969085,1,0.52495718,3
605,1,8,NA,2,1.2964458,2
606,3,9,1.4766983,2,1.094359,3
607,2,8,NA,NA,1.5246657,4
608,1,5,0.53563309,1,-1.1175429,4
609,3,NA,-0.39307344,2,1.4564921,3
610,1,3,0.53563309,1,1.5889505,4
611,1,5,-0.39307344,2,1.5061827,3
612,2,NA,0.87393397,2,1.551386,4
613,1,NA,1.1998762,2,0.37963954,4
614,3,8,NA,NA,-0.031451087,3
615,1,NA,-0.067131236,1,1.6127883,4
616,1,6,1.4766983,2,0.72283667,4
617,2,7,1.4766983,1,0.3355839,4
618,2,8,NA,2,-0.16390951,3
619,2,9,1.4766983,NA,-0.48574123,3
620,2,9,1.8026404,2,-0.75252736,3
621,2,NA,1.4766983,2,1.0823673,4
622,2,8,1.8026404,2,0.76589048,3
623,2,9,NA,2,1.5246657,3
624,2,8,1.8026404,2,1.0682261,4
625,2,9,1.4766983,2,0.58850896,3
626,1,5,NA,1,0.009867779,3
627,1,5,0.60857284,1,-0.52905941,3
628,1,5,0.60857284,1,0.77586716,2
629,1,5,NA,1,0.041209944,4
630,1,5,0.53563309,1,-0.61746222,4
631,1,5,0.53563309,1,-0.70471734,4
632,1,5,1.8026404,1,1.0480082,3
633,1,5,-0.65843457,2,-0.015985094,4
634,1,5,-0.65843457,1,-0.97786027,4
635,1,5,-0.65843457,1,0.29500246,3
636,1,5,0.60857284,1,0.26279286,4
637,1,5,1.8026404,1,-0.33246195,4
638,1,10,NA,1,0.40535799,3
639,2,9,0.87393397,2,0.841434,4
640,2,8,0.87393397,1,-0.80308551,4
641,2,3,NA,1,-0.094868436,3
642,1,8,NA,1,-0.66975963,4
643,2,7,NA,1,-0.44890976,2
644,2,5,NA,1,-0.025094347,2
645,2,3,1.1998762,2,0.62071854,2
646,2,2,-0.39307344,NA,0.38050699,2
647,1,5,1.1269363,2,-0.15480025,3
648,2,8,-0.39307344,2,0.78524083,3
649,1,4,0.20969085,2,-1.3457627,2
650,1,7,0.60857284,1,1.0069695,3
651,1,NA,1.4766983,1,1.0952265,3
652,NA,NA,1.8026404,2,-0.30994886,1
653,1,NA,2.3939438,2,0.6906271,3
654,2,NA,0.87393397,1,0.46153983,3
655,1,NA,1.1998762,2,0.43019766,4
656,1,9,0.20969085,1,NA,3
657,2,5,0.53563309,2,0.71924376,3
658,1,NA,0.80099416,1,1.2204608,3
659,1,8,1.8026404,1,0.062295236,4
660,1,9,0.20969085,1,0.48711252,3
661,4,NA,0.60857284,1,0.60122246,4
662,3,7,0.60857284,2,0.68947947,3
663,1,6,-0.65843457,2,0.66377234,4
664,1,NA,0.60857284,2,1.1898403,4
665,1,NA,-0.39307344,1,0.18290763,3
666,1,NA,1.8026404,1,1.151274,4
667,1,8,0.87393397,2,1.4869667,2
668,1,7,0.53563309,2,0.44232386,2
669,1,7,1.8026404,2,-0.2098458,3
670,1,6,0.80099416,1,0.024730759,4
671,3,8,NA,1,0.6133486,3
672,1,6,2.3939438,2,0.9553982,3
673,1,6,0.80099416,1,0.2132366,3
674,2,7,2.0680015,2,0.77645445,2
675,2,8,0.20969085,2,0.24311961,3
676,2,9,1.8026404,2,0.50010616,3
677,2,9,-0.39307344,2,1.2717406,3
678,3,9,1.4766983,2,1.1070726,3
679,3,9,1.8026404,2,1.1963428,3
680,2,NA,1.4766983,1,0.63271034,3
681,1,5,NA,2,-0.60258788,4
682,1,6,-0.98437679,2,-0.69921672,3
683,1,NA,NA,2,NA,4
684,1,5,1.1269363,1,-0.3993535,3
685,1,5,-0.98437679,2,-0.47763383,4
686,1,5,-0.98437679,2,-0.43156314,3
687,1,7,-0.65843457,2,0.66147709,4
688,1,4,-0.65843457,2,0.69368672,3
689,1,4,-0.65843457,2,0.75723851,3
690,1,5,-0.65843457,2,0.66147709,1
691,2,5,2.3939438,1,-1.3963208,1
692,1,4,-0.65843457,1,-0.41943693,2
693,1,6,-0.65843457,2,0.99354994,3
694,1,7,NA,1,-1.3457627,2
695,1,5,-0.65843457,2,1.9247777,2
696,1,5,NA,1,-1.4008082,4
697,1,3,-0.65843457,2,0.69368672,2
698,1,NA,-0.65843457,1,-0.078976534,3
699,1,5,1.8026404,1,1.1832033,4
700,1,5,NA,1,1.4511372,3
701,1,5,1.4766983,1,1.5760913,4
702,1,5,1.4766983,1,1.2025537,4
703,1,5,NA,1,1.3867179,2
704,1,5,1.4766983,1,1.6902012,4
705,1,5,NA,1,-0.10409638,4
706,1,4,-0.98437679,2,0.37690276,3
707,1,6,-0.98437679,2,0.33284712,4
708,1,0,NA,2,0.65482455,2
709,1,0,-0.067131236,2,1.004087,4
710,3,5,NA,1,NA,4
711,1,6,-0.98437679,1,-0.42130625,4
712,1,3,NA,1,0.85876936,4
713,1,3,-0.98437679,1,1.0104437,4
714,2,2,NA,1,2.3650723,3
715,1,5,-0.067131236,1,0.74465942,4
716,1,0,-0.98437679,1,0.65482455,4
717,1,4,-0.98437679,2,1.1246994,4
718,1,1,-0.65843457,1,-1.497437,3
719,1,2,-0.65843457,NA,1.4538897,3
720,1,NA,-0.39307344,2,-0.34476084,4
721,1,5,-0.65843457,2,0.69368672,4
722,1,5,1.4766983,1,1.3350122,3
723,1,5,1.4766983,1,-0.096603341,3
724,1,5,1.4766983,1,-0.012968146,2
725,1,5,1.4766983,1,0.27116466,4
726,1,5,1.4766983,1,0.92405599,4
727,1,5,1.4766983,2,-0.10209263,4
728,1,1,0.20969085,1,-1.497437,4
729,3,NA,1.1269363,2,-1.1111861,2
730,1,3,-0.067131236,2,-1.4652275,3
731,1,NA,NA,1,-1.497437,3
732,1,3,NA,2,NA,4
733,1,5,-0.067131236,2,0.55487156,2
734,1,5,-0.65843457,1,-0.82605141,3
735,1,6,-0.65843457,1,1.6504872,2
736,1,5,-0.65843457,1,1.4169126,4
737,1,5,0.53563309,1,0.25643611,4
738,1,5,0.20969085,1,0.42746088,2
739,NA,NA,NA,NA,0.54430759,4
740,1,5,-0.98437679,2,-0.17314877,4
741,1,5,NA,2,-0.89609438,3
742,1,3,NA,2,-0.67451149,3
743,1,4,-0.98437679,1,-0.43156314,4
744,1,5,NA,1,-0.28437614,4
745,1,5,NA,2,-0.71307784,3
746,1,NA,0.20969085,1,0.16082045,3
747,1,5,-0.39307344,2,1.6718526,4
748,1,NA,NA,1,-1.497437,4
749,1,6,-0.98437679,2,1.602946,3
750,1,7,-0.65843457,2,1.9533674,3
751,1,3,0.28263065,1,0.16082045,4
752,1,6,-0.65843457,2,-1.2491338,2
753,1,5,1.1269363,1,-1.2446464,4
754,1,5,NA,2,1.5393943,2
755,1,NA,NA,1,NA,4
756,1,5,-0.65843457,1,0.60931408,3
757,1,NA,-0.98437679,1,0.16082045,4
758,1,5,1.4766983,1,0.58850896,4
759,1,5,1.8026404,2,0.88563538,4
760,1,5,1.4766983,1,0.28387815,4
761,2,5,1.4766983,2,1.5685868,4
762,2,5,1.4766983,2,1.1639874,3
763,2,5,1.4766983,1,1.4169126,4
764,2,5,1.4766983,2,0.63906705,3
765,3,10,NA,1,0.14247194,4
766,3,1,NA,1,1.6312712,3
767,1,7,-0.98437679,1,-1.2039306,2
768,1,6,-0.65843457,1,0.085691497,3
769,3,NA,NA,2,NA,4
770,1,5,NA,NA,-0.83817762,4
771,3,NA,NA,1,NA,3
772,3,NA,1.1269363,1,0.035133373,4
773,1,NA,-0.98437679,1,-1.497437,3
774,1,NA,0.80099416,2,1.859491,4
775,3,NA,NA,1,1.5148346,2
776,1,NA,0.60857284,2,0.58678538,3
777,3,NA,0.53563309,NA,-1.3641112,4
778,1,7,NA,2,0.31392694,4
779,1,5,-0.65843457,1,-0.091970183,2
780,1,NA,NA,NA,0.55629933,3
781,1,NA,NA,1,0.28502575,4
782,1,NA,NA,2,0.044092461,4
783,1,NA,NA,2,0.47439903,2
784,1,NA,NA,1,0.094504848,4
785,1,NA,NA,NA,0.59486568,4
786,1,NA,NA,1,0.57651716,3
787,2,9,NA,1,0.53044647,4
788,1,10,NA,1,0.46153983,4
789,1,NA,NA,1,0.79174334,4
790,1,NA,NA,1,0.70984304,4
791,1,NA,NA,1,0.72819155,4
792,1,8,0.53563309,2,0.15358053,4
793,1,7,0.53563309,1,NA,2
794,1,7,NA,2,NA,3
795,1,8,0.87393397,2,-1.0597606,3
796,1,NA,NA,2,NA,3
797,1,5,2.0680015,2,0.014899795,4
798,2,NA,NA,1,0.79261076,3
799,1,NA,NA,1,0.71839195,3
800,3,NA,-0.98437679,1,0.22523968,4
801,1,NA,-0.98437679,1,-0.9918558,3
802,1,NA,NA,2,NA,4
803,2,NA,NA,2,-0.81333798,4
804,1,NA,NA,2,0.14924328,4
805,2,NA,-0.39307344,1,1.859491,4
806,2,NA,NA,2,2.3650723,3
807,1,NA,NA,1,1.859491,4
808,1,NA,-0.65843457,2,1.859491,4
809,1,NA,NA,1,NA,3
810,1,5,NA,2,0.29673737,4
811,1,7,NA,1,0.14924328,3
812,3,5,0.53563309,1,2.1122816,3
813,2,5,NA,1,-0.85537851,1
814,1,10,0.20969085,1,NA,4
815,3,0,0.53563309,1,2.1122816,3
816,2,8,0.53563309,2,0.49823684,4
817,1,NA,0.53563309,2,-1.3963208,1
818,1,NA,1.1269363,1,0.76502299,3
819,1,NA,NA,2,NA,4
820,1,5,-0.98437679,NA,-0.59074187,2
821,1,10,-0.067131236,1,0.47439903,4
822,1,NA,0.20969085,1,0.59009808,3
823,1,5,0.20969085,1,-0.9918558,4
824,3,NA,0.53563309,2,1.8710682,4
825,1,5,0.20969085,2,-0.49960232,3
826,1,5,-0.39307344,2,0.47439903,3
827,1,7,-0.98437679,1,2.3650723,4
828,3,9,1.1269363,2,1.4289043,4
829,1,5,NA,1,1.4741075,2
830,1,5,NA,1,0.51209795,3
831,1,2,0.60857284,1,1.2889415,3
832,1,5,1.1269363,1,0.69149452,1
833,1,NA,NA,2,2.020539,2
834,1,NA,NA,1,0.14924328,4
835,3,NA,-0.067131236,1,0.65482455,3
836,3,NA,NA,1,1.2892216,3
837,3,NA,NA,1,-0.22978346,3
838,1,NA,-0.65843457,2,2.1940475,4
839,1,10,NA,2,2.1940475,4
840,1,0,-0.98437679,2,-1.497437,3
841,1,10,-0.65843457,2,0.21281068,4
842,1,5,-0.067131236,1,0.4663074,3
843,1,NA,NA,1,-0.67986637,3
844,1,5,NA,2,-0.9907195,4
845,3,10,-0.98437679,2,-0.010377109,3
846,1,NA,NA,2,0.26307303,4
847,1,5,-0.98437679,2,0.64455634,3
848,1,5,NA,2,-0.46739271,3
849,1,NA,NA,NA,1.0685062,3
850,NA,5,-0.98437679,1,0.49374944,4
851,1,5,NA,2,0.62620783,4
852,1,5,0.20969085,1,-0.42130625,1
853,1,8,0.20969085,NA,-1.497437,3
854,1,NA,NA,1,-1.497437,4
855,1,NA,NA,NA,-0.83876491,3
856,1,5,0.53563309,NA,-1.497437,2
857,1,NA,-0.65843457,1,-1.497437,2
858,1,6,NA,1,-1.3363889,4
859,1,NA,NA,1,-1.3363889,3
860,1,5,NA,2,-1.3363889,4
861,2,7,0.60857284,2,-1.4008082,3
862,1,NA,0.60857284,1,-1.3963208,4
863,1,7,NA,1,-1.3363889,3
864,2,6,NA,1,0.11472269,4
865,1,6,NA,1,-1.1480175,2
866,1,9,NA,2,0.48103595,3
867,1,5,0.20969085,NA,NA,2
868,1,3,-0.98437679,1,1.4372761,4
869,1,6,0.53563309,1,-0.52242249,4
870,1,NA,-0.98437679,2,-0.86475223,3
871,1,NA,NA,2,-1.497437,3
872,1,NA,NA,1,NA,2
873,1,NA,NA,1,-1.497437,4
874,1,5,-0.067131236,2,-0.26025817,4
875,1,NA,-0.98437679,2,-0.62353879,1
876,1,5,-0.98437679,1,0.14924328,3
877,1,NA,NA,1,-1.497437,4
878,2,4,-0.067131236,1,0.9769094,3
879,2,10,0.53563309,1,2.1815872,4
880,1,7,0.28263065,1,0.97692072,3
881,2,5,2.3939438,1,-0.86301732,3
882,1,3,-0.65843457,1,-0.9918558,4
883,2,5,1.8026404,1,-0.55939972,4
884,1,5,NA,1,-0.062658824,4
885,1,10,-0.067131236,2,1.5174415,3
886,1,7,NA,2,0.14924328,3
887,2,5,-0.39307344,1,-1.497437,4
888,1,10,NA,1,0.14924328,4
889,1,NA,NA,2,-1.497437,4
890,1,5,NA,1,0.43640867,3
891,1,NA,NA,NA,-0.79933113,3
892,1,5,-0.65843457,2,-0.86650288,3
893,1,5,NA,1,-0.99620879,3
894,2,5,NA,1,-0.45728156,3
895,1,7,NA,2,1.0952265,4
896,1,NA,1.4766983,1,0.11949027,4
897,2,5,-0.65843457,1,0.58215219,3
898,2,8,-0.39307344,2,-0.13343479,4
899,1,7,NA,2,0.34107319,4
900,1,5,1.4766983,2,0.82395297,4
901,1,7,NA,2,0.35378665,3
902,2,5,-0.98437679,2,1.9422587,4
903,1,7,NA,2,0.5626561,3
904,1,5,1.4766983,1,0.79174334,4
905,2,5,1.4766983,2,1.1274362,4
906,2,8,NA,2,0.48624507,4
907,1,7,1.8026404,2,1.2093364,3
908,1,5,1.4766983,1,1.6579915,3
909,1,7,NA,1,0.58215219,3
910,1,7,NA,1,0.82395297,4
911,1,4,-0.067131236,1,1.5954416,4
912,1,5,1.4766983,2,0.69626212,4
913,1,5,1.8026404,2,1.5180287,4
914,1,NA,NA,NA,NA,4
915,1,5,1.4766983,2,0.49188012,3
916,1,NA,NA,1,NA,4
917,1,NA,NA,1,-0.91531032,4
918,1,5,0.28263065,2,1.0315291,3
919,1,5,1.8026404,2,0.77339482,4
920,1,NA,NA,1,-1.2446464,4
921,1,5,1.4766983,2,1.4169126,4
922,1,NA,NA,1,NA,4
923,1,5,1.4766983,2,1.3048177,4
924,1,NA,-0.39307344,1,-0.68622309,4
925,1,NA,NA,1,NA,4
926,1,5,1.4766983,2,-0.076519921,2
927,1,NA,NA,1,-0.7045716,4
928,1,5,0.20969085,1,1.6074334,4
929,1,5,1.4766983,2,0.74754196,3
930,1,NA,-0.98437679,1,-1.0164266,3
931,1,5,1.4766983,2,0.85414749,3
932,1,NA,NA,1,NA,4
933,3,6,-0.98437679,2,0.55816865,4
934,1,NA,NA,1,NA,4
935,2,5,-0.98437679,2,1.6007965,3
936,1,NA,NA,1,0.055071045,4
937,1,5,1.4766983,2,0.23446763,3
938,1,5,1.4766983,1,0.20861475,4
939,1,5,1.4766983,1,1.5954416,3
940,1,NA,NA,1,NA,3
941,1,NA,-0.98437679,NA,NA,4
942,1,NA,NA,1,0.94240451,4
943,1,NA,-0.65843457,1,-0.52155507,3
944,1,NA,NA,1,-1.2446464,4
945,1,5,1.4766983,1,0.95641136,4
946,1,5,1.4766983,2,-0.30445957,3
947,1,5,NA,1,0.46602723,3
948,1,5,NA,2,-0.9918558,2
949,1,4,-0.65843457,2,-0.12822567,3
950,1,NA,NA,NA,NA,2
951,1,5,1.4766983,2,-1.2813435,3
952,1,5,NA,1,0.21310216,4
953,1,5,NA,2,NA,3
954,1,8,1.1269363,1,NA,4
955,1,4,NA,2,NA,1
956,1,NA,-0.65843457,1,NA,3
957,1,NA,-0.65843457,1,NA,2
958,1,NA,-0.39307344,2,0.59486568,3
959,1,NA,-0.98437679,2,0.41633657,4
960,1,NA,NA,2,NA,4
961,1,4,NA,2,0.53680319,4
962,1,NA,NA,2,NA,4
963,1,7,NA,2,-0.21186087,3
964,1,5,NA,1,0.10448156,3
965,3,NA,NA,1,NA,4
966,NA,NA,NA,NA,NA,4
967,1,5,NA,2,NA,4
968,4,NA,-0.65843457,NA,NA,4
969,1,NA,-0.98437679,2,0.49823684,2
970,1,3,NA,2,0.49823684,4
971,1,4,-0.65843457,NA,-1.0339077,2
972,1,4,NA,2,NA,4
973,NA,NA,NA,1,NA,4
974,3,NA,1.1998762,2,0.59486568,3
975,1,NA,NA,1,NA,4
976,3,NA,NA,NA,NA,3
977,NA,NA,NA,NA,NA,4
978,NA,NA,NA,NA,NA,4
979,3,5,-0.067131236,2,1.5318898,4
980,1,3,NA,1,0.76315367,4
981,1,5,-0.65843457,2,2.2733297,4
982,3,NA,-0.65843457,NA,NA,3
983,3,NA,NA,NA,NA,3
984,3,NA,-0.65843457,NA,NA,3
985,3,NA,NA,NA,NA,4
986,3,NA,NA,1,NA,4
987,4,NA,NA,1,NA,4
988,NA,NA,NA,NA,NA,4
989,NA,NA,NA,1,NA,3
990,2,NA,-0.98437679,1,NA,4
991,2,NA,NA,1,NA,4
992,NA,NA,-0.65843457,NA,NA,4
993,NA,NA,NA,NA,NA,4
994,NA,NA,-0.65843457,NA,NA,4
995,1,5,NA,2,NA,4
996,3,NA,NA,NA,NA,4
997,1,NA,NA,1,0.59486568,3
998,1,4,NA,2,0.26279286,4
999,1,6,NA,1,0.25035954,3
1000,1,5,NA,1,-0.66975963,3
1001,1,5,-0.39307344,1,-1.497437,4
1002,2,5,-0.65843457,1,NA,4
1003,NA,NA,NA,1,-1.3363889,4
1004,1,5,NA,NA,NA,4
1005,4,4,NA,1,NA,4
1006,1,4,-0.65843457,2,-0.14788318,4
1007,1,NA,NA,1,-0.67409688,4
1008,2,5,NA,1,-0.72378755,4
1009,1,5,-0.65843457,2,-0.1800928,3
1010,2,NA,NA,1,NA,4
1011,1,NA,NA,2,-1.4330178,4
1012,1,NA,-0.98437679,NA,NA,2
1013,1,1,NA,1,0.091768071,1
1014,1,5,NA,1,NA,4
1015,2,7,-0.39307344,1,0.14924328,1
1016,3,5,-0.65843457,1,-1.4146693,2
1017,2,1,-0.98437679,1,1.6322844,4
1018,1,4,0.20969085,1,0.091487899,3
1019,2,10,0.20969085,1,2.3650723,3
1020,1,NA,0.20969085,1,NA,4
1021,2,NA,NA,1,NA,4
1022,2,8,0.53563309,NA,NA,4
1023,2,5,0.53563309,1,-0.47878146,4
1024,1,NA,NA,1,1.3516371,4
1025,1,5,NA,1,1.2765082,2
1026,NA,NA,NA,1,NA,4
1027,NA,NA,NA,1,-1.3319016,4
1028,2,4,1.1269363,2,0.21281068,4
1029,1,NA,NA,2,-1.2446464,3
1030,1,NA,NA,1,NA,4
1031,1,NA,NA,1,2.2004042,4
1032,1,NA,NA,1,NA,4
1033,NA,NA,NA,1,0.14924328,4
1034,3,4,NA,NA,NA,4
1035,2,8,-0.98437679,1,0.14924328,2
1036,2,NA,NA,NA,-1.2352728,4
1037,1,NA,NA,1,0.1738141,4
1038,1,NA,0.53563309,1,-0.71756524,4
1039,NA,NA,NA,1,-0.0074675437,4
1040,1,NA,0.80099416,1,-0.40831259,3
1041,1,10,NA,1,-1.497437,4
1042,1,5,-0.98437679,1,-1.2446464,3
1043,2,1,-0.98437679,1,0.73181152,3
1044,2,NA,-0.98437679,1,NA,4
1045,2,3,-0.98437679,1,-0.091970183,3
1046,3,NA,NA,1,0.24587213,4
1047,2,NA,-0.98437679,1,NA,3
1048,3,NA,NA,NA,NA,2
1049,2,NA,NA,1,-1.0477688,2
1050,1,2,-0.98437679,1,1.3721352,4
1051,1,NA,0.28263065,2,-0.9918558,4
1052,1,5,NA,NA,NA,3
1053,1,NA,NA,1,NA,4
1054,1,7,-0.65843457,2,1.551386,4
1055,1,5,-0.65843457,2,1.4418979,4
1056,1,NA,0.20969085,1,-0.9918558,4
1057,1,NA,NA,2,NA,4
1058,1,4,-0.65843457,2,1.5493709,3
1059,1,NA,-0.65843457,1,1.3461366,4
1060,1,NA,NA,1,NA,2
1061,1,4,-0.65843457,2,0.60512257,4
1062,3,NA,NA,1,1.3858505,4
1063,1,4,-0.65843457,2,0.94081539,4
1064,2,NA,NA,1,-1.4008082,4
1065,1,4,-0.65843457,2,1.6818293,4
1066,1,NA,NA,1,NA,4
1067,1,7,1.1269363,1,0.035133373,4
1068,1,NA,NA,1,NA,4
1069,1,7,-0.65843457,2,1.1501263,4
1070,3,NA,2.0680015,1,-1.3963208,2
1071,1,6,NA,1,0.62461871,3
1072,1,1,NA,1,-1.497437,3
1073,1,7,-0.65843457,1,1.4289043,2
1074,1,NA,NA,1,-1.497437,3
1075,1,4,-0.65843457,2,1.3783461,4
1076,1,NA,0.28263065,1,-0.9918558,3
1077,1,5,-0.65843457,1,1.0607216,3
1078,1,NA,NA,1,2.0111654,3
1079,1,4,NA,1,NA,4
1080,2,NA,NA,1,2.1122816,4
1081,1,5,-0.65843457,2,1.4666032,2
1082,1,NA,NA,2,-1.497437,4
1083,1,5,-0.65843457,2,1.4602464,3
1084,2,NA,-0.98437679,1,-1.1847146,2
1085,1,5,-0.65843457,1,1.4289043,4
1086,3,5,NA,1,NA,4
1087,1,7,NA,1,NA,4
1088,2,NA,-0.98437679,1,NA,2
1089,1,5,-0.98437679,1,NA,3
1090,1,5,-0.98437679,2,-0.42130625,2
1091,1,8,0.53563309,2,NA,1
1092,1,NA,NA,1,-1.2813435,2
1093,1,1,-0.98437679,2,0.66505438,4
1094,1,8,2.3939438,2,-1.4652275,4
1095,3,7,0.80099416,2,0.32186851,4
1096,1,7,0.53563309,1,-0.95964617,4
1097,1,5,NA,1,-0.18586224,4
1098,2,3,NA,NA,NA,4
1099,1,5,-0.98437679,2,-1.2124368,3
1100,4,5,NA,1,-0.64231318,4
1101,2,4,-0.98437679,1,NA,4
1102,1,3,-0.98437679,1,0.65482455,4
1103,1,NA,-0.98437679,1,NA,4
1104,1,NA,NA,1,-1.2446464,3
1105,1,2,-0.98437679,1,0.084528148,2
1106,1,10,1.8026404,2,-1.171721,1
1107,1,3,NA,1,-1.497437,1
1108,1,4,-0.98437679,1,-0.16851561,4
1109,1,5,-0.65843457,1,1.1654152,4
1110,3,5,-0.39307344,1,2.0423732,4
1111,1,3,-0.65843457,2,0.40203393,4
1112,1,3,NA,2,1.9604728,4
1113,1,5,NA,2,0.37762445,4
1114,3,2,NA,1,1.1173408,4
1115,1,3,NA,1,-1.4330178,3
1116,1,NA,NA,1,1.2571578,4
1117,1,5,NA,1,-1.0669848,4
1118,1,5,-0.98437679,1,0.082071535,3
1119,1,6,NA,NA,-0.92743653,1
1120,1,5,NA,1,-0.62353879,3
1121,1,NA,NA,2,0.49274755,4
1122,1,NA,NA,2,NA,4
1123,2,NA,NA,2,NA,4
1124,1,5,0.20969085,2,-1.0236665,4
1125,1,NA,1.1269363,2,-0.70819157,3
1126,1,NA,NA,2,0.33356881,3
1127,1,NA,NA,2,NA,4
1128,1,8,-0.65843457,2,1.1696224,3
1129,1,5,NA,2,-0.64015239,4
1130,1,5,1.1269363,2,-0.52604246,4
1131,1,NA,NA,2,NA,3
1132,1,NA,NA,2,0.66290486,4
1133,1,NA,NA,2,-0.60794276,3
1134,1,NA,0.53563309,2,-0.032038368,2
1135,1,NA,NA,2,NA,4
1136,1,NA,NA,2,NA,4
1137,1,NA,NA,2,NA,4
1138,1,NA,NA,2,NA,4
1139,1,NA,NA,2,-0.35501769,3
1140,2,NA,NA,2,1.1826161,4
1141,1,NA,NA,2,0.00017124461,4
1142,1,NA,NA,2,NA,4
1143,1,NA,NA,NA,NA,4
1144,1,NA,0.53563309,2,-0.51968575,4
1145,1,NA,NA,2,NA,4
1146,1,NA,NA,2,NA,4
1147,2,0,0.20969085,2,-0.45713583,3
1148,1,NA,NA,2,NA,4
1149,1,NA,0.53563309,2,-0.62180388,2
1150,1,5,2.3939438,2,-0.97699279,3
1151,1,5,1.1269363,2,-1.1708535,3
1152,1,NA,0.80099416,2,-1.2352728,3
1153,1,NA,NA,2,0.13349712,3
1154,1,NA,NA,2,NA,4
1155,1,7,0.53563309,1,1.859491,4
1156,1,1,-0.98437679,2,-1.4330178,2
1157,1,9,-0.65843457,2,-1.497437,3
1158,1,9,-0.65843457,2,0.14924328,4
1159,1,5,-0.65843457,2,1.859491,3
1160,1,5,0.53563309,1,0.40203393,4
1161,3,5,0.53563309,1,0.14924328,3
1162,1,4,1.4766983,2,0.59486568,4
1163,3,8,0.53563309,NA,0.18102698,4
1164,1,9,0.53563309,1,-0.42130625,4
1165,1,5,NA,2,0.94413942,4
1166,1,5,0.53563309,1,-0.72493517,2
1167,1,7,1.1269363,1,-1.497437,3
1168,3,7,2.3939438,2,-1.497437,3
1169,1,6,-0.65843457,1,-0.85537851,2
1170,1,5,NA,1,0.43381763,4
1171,1,NA,NA,1,-1.497437,4
1172,2,7,2.0680015,2,-1.497437,2
1173,1,7,-0.98437679,1,-1.497437,2
1174,1,3,-0.98437679,2,-1.3457627,4
1175,1,6,0.60857284,2,-1.497437,2
1176,2,7,NA,1,-1.1617442,4
1177,1,10,1.1269363,2,0.14924328,2
1178,1,2,-0.65843457,2,-1.4652275,2
1179,1,5,0.53563309,2,-1.497437,2
1180,1,2,-0.65843457,1,2.6871684,3
1181,1,5,NA,2,2.6871684,2
1182,1,5,NA,1,-1.497437,2
1183,1,8,1.8026404,2,1.4499896,2
1184,1,3,-0.98437679,2,0.2727538,3
1185,NA,NA,NA,NA,NA,3
1186,1,5,-0.98437679,2,NA,1
1187,1,5,1.1269363,1,-0.11798453,4
1188,1,7,-0.98437679,2,NA,3
1189,2,NA,-0.39307344,2,-0.42130625,4
1190,2,NA,1.4766983,1,NA,4
1191,1,5,1.8026404,1,1.602946,4
1192,1,6,1.8026404,1,1.2295543,4
1193,1,2,0.60857284,1,-1.3457627,4
1194,1,7,2.3939438,1,1.7998236,4
1195,2,5,2.3939438,1,1.0777454,4
1196,1,3,NA,2,0.81009185,4
1197,1,2,-0.65843457,2,-0.6735096,2
1198,1,4,-0.98437679,2,-0.20421076,3
1199,1,NA,NA,1,0.51758724,4
1200,1,NA,0.20969085,2,-0.20032637,3
